Admissions/Covers,Members,Total Admissions,date
258,50,308,2022-01-01
263,54,317,2022-01-02
149,20,169,2022-01-03
116,13,129,2022-01-04
69,43,112,2022-01-05
0,0,0,2022-01-06
0,1,1,2022-01-07
0,3,3,2022-01-08
0,1,1,2022-01-09
0,0,0,2022-01-10
0,0,0,2022-01-11
81,53,134,2022-01-12
75,53,128,2022-01-13
141,60,201,2022-01-14
407,101,508,2022-01-15
328,42,370,2022-01-16
195,74,269,2022-01-17
0,1,1,2022-01-18
79,59,138,2022-01-19
105,55,160,2022-01-20
128,49,177,2022-01-21
357,128,485,2022-01-22
234,44,278,2022-01-23
79,29,108,2022-01-24
0,0,0,2022-01-25
77,48,125,2022-01-26
83,28,111,2022-01-27
148,70,218,2022-01-28
323,78,401,2022-01-29
222,77,299,2022-01-30
54,53,107,2022-01-31
0,1,1,2022-02-01
54,43,97,2022-02-02
94,40,134,2022-02-03
179,51,230,2022-02-04
389,117,506,2022-02-05
209,76,285,2022-02-06
105,64,169,2022-02-07
0,0,0,2022-02-08
78,47,125,2022-02-09
77,57,134,2022-02-10
145,92,237,2022-02-11
402,116,518,2022-02-12
187,49,236,2022-02-13
108,62,170,2022-02-14
0,0,0,2022-02-15
136,45,181,2022-02-16
92,55,147,2022-02-17
192,73,265,2022-02-18
705,123,828,2022-02-19
494,135,629,2022-02-20
221,41,262,2022-02-21
0,0,0,2022-02-22
78,32,110,2022-02-23
73,35,108,2022-02-24
201,69,270,2022-02-25
452,79,531,2022-02-26
280,72,352,2022-02-27
96,39,135,2022-02-28
0,0,0,2022-03-01
112,63,175,2022-03-02
115,52,167,2022-03-03
162,29,191,2022-03-04
375,73,448,2022-03-05
190,70,260,2022-03-06
106,23,129,2022-03-07
0,0,0,2022-03-08
135,47,182,2022-03-09
105,37,142,2022-03-10
207,50,257,2022-03-11
496,87,583,2022-03-12
302,50,352,2022-03-13
285,50,335,2022-03-14
0,0,0,2022-03-15
425,44,469,2022-03-16
278,28,306,2022-03-17
340,77,417,2022-03-18
512,92,604,2022-03-19
393,48,441,2022-03-20
359,27,386,2022-03-21
0,0,0,2022-03-22
369,64,433,2022-03-23
199,53,252,2022-03-24
379,63,442,2022-03-25
508,60,568,2022-03-26
400,59,459,2022-03-27
189,37,226,2022-03-28
0,0,0,2022-03-29
127,38,165,2022-03-30
163,69,232,2022-03-31
166,41,207,2022-04-01
345,75,420,2022-04-02
124,56,180,2022-04-03
156,57,213,2022-04-04
0,0,0,2022-04-05
99,50,149,2022-04-06
136,31,167,2022-04-07
186,69,255,2022-04-08
267,72,339,2022-04-09
171,34,205,2022-04-10
87,35,122,2022-04-11
0,0,0,2022-04-12
76,25,101,2022-04-13
83,34,117,2022-04-14
167,50,217,2022-04-15
383,57,440,2022-04-16
196,76,272,2022-04-17
0,0,0,2022-04-18
0,0,0,2022-04-19
0,0,0,2022-04-20
0,0,0,2022-04-21
0,0,0,2022-04-22
342,47,389,2022-04-23
196,63,259,2022-04-24
80,36,116,2022-04-25
67,24,91,2022-04-26
81,28,109,2022-04-27
139,41,180,2022-04-28
201,52,253,2022-04-29
361,87,448,2022-04-30
218,37,255,2022-05-01
83,36,119,2022-05-02
0,2,2,2022-05-03
62,41,103,2022-05-04
93,58,151,2022-05-05
149,65,214,2022-05-06
399,65,464,2022-05-07
258,68,326,2022-05-08
75,9,84,2022-05-09
0,0,0,2022-05-10
134,45,179,2022-05-11
113,41,154,2022-05-12
0,52,52,2022-05-13
384,55,439,2022-05-14
416,82,498,2022-05-15
130,39,169,2022-05-16
0,0,0,2022-05-17
156,56,212,2022-05-18
139,44,183,2022-05-19
0,49,49,2022-05-20
365,56,421,2022-05-21
339,97,436,2022-05-22
194,39,233,2022-05-23
221,28,249,2022-05-24
0,59,59,2022-05-25
267,43,310,2022-05-26
373,74,447,2022-05-27
864,70,934,2022-05-28
952,38,990,2022-05-29
564,86,650,2022-05-30
382,55,437,2022-05-31
407,57,464,2022-06-01
458,57,515,2022-06-02
478,72,550,2022-06-03
713,78,791,2022-06-04
525,78,603,2022-06-05
448,70,518,2022-06-06
398,86,484,2022-06-07
465,88,553,2022-06-08
530,110,640,2022-06-09
606,129,735,2022-06-10
921,93,1014,2022-06-11
571,66,637,2022-06-12
492,83,575,2022-06-13
630,76,706,2022-06-14
620,85,705,2022-06-15
482,103,585,2022-06-16
540,122,662,2022-06-17
763,92,855,2022-06-18
405,71,476,2022-06-19
715,113,828,2022-06-20
665,128,793,2022-06-21
549,83,632,2022-06-22
358,68,426,2022-06-23
948,91,1039,2022-06-24
885,129,1014,2022-06-25
346,71,417,2022-06-26
775,101,876,2022-06-27
609,81,690,2022-06-28
651,119,770,2022-06-29
531,72,603,2022-06-30
759,126,885,2022-07-01
1090,133,1223,2022-07-02
1071,122,1193,2022-07-03
832,85,917,2022-07-04
432,143,575,2022-07-05
545,123,668,2022-07-06
995,127,1122,2022-07-07
1012,140,1152,2022-07-08
963,126,1089,2022-07-09
455,90,545,2022-07-10
620,97,717,2022-07-11
559,122,681,2022-07-12
619,60,679,2022-07-13
633,109,742,2022-07-14
783,110,893,2022-07-15
984,144,1128,2022-07-16
689,116,805,2022-07-17
501,111,612,2022-07-18
706,119,825,2022-07-19
869,143,1012,2022-07-20
738,116,854,2022-07-21
707,152,859,2022-07-22
930,122,1052,2022-07-23
599,80,679,2022-07-24
643,77,720,2022-07-25
628,96,724,2022-07-26
640,81,721,2022-07-27
515,51,566,2022-07-28
807,89,896,2022-07-29
782,128,910,2022-07-30
733,109,842,2022-07-31
522,83,605,2022-08-01
790,109,899,2022-08-02
674,105,779,2022-08-03
579,98,677,2022-08-04
669,96,765,2022-08-05
906,119,1025,2022-08-06
707,125,832,2022-08-07
649,78,727,2022-08-08
587,116,703,2022-08-09
559,116,675,2022-08-10
472,64,536,2022-08-11
663,141,804,2022-08-12
